geoName,interest,date,lat,long,city
Reno Nevada United States of America,6,2019-02-25,39.5261206,-119.8126581,Reno 
San Diego California United States of America,1,2019-02-25,32.7174209,-117.1627714,San Diego 
San Francisco California United States of America,1,2019-02-25,37.7790262,-122.4199061,San Francisco 
Santa Barbara California United States of America,6,2019-02-25,34.4221319,-119.7026673,Santa Barbara 
Seattle Washington United States of America,2,2019-02-25,47.6038321,-122.3300624,Seattle 
Sioux City Iowa United States of America,15,2019-02-25,42.4966815,-96.4058782,Sioux City 
South Bend Indiana United States of America,6,2019-02-25,41.6833813,-86.2500066,South Bend 
Spokane Washington United States of America,4,2019-02-25,47.6579425,-117.4212265,Spokane 
Springfield Missouri United States of America,5,2019-02-25,37.2166779,-93.2920373,Springfield 
St. Louis Missouri United States of America,2,2019-02-25,38.6529545,-90.24111656024635,St. Louis 
Syracuse New York United States of America,4,2019-02-25,43.0481221,-76.1474244,Syracuse 
Tampa Florida United States of America,1,2019-02-25,27.9477595,-82.458444,Tampa 
Washington District of Columbia United States of America,1,2019-02-25,38.8948932,-77.0365529,Washington 
West Palm Beach Florida United States of America,2,2019-02-25,26.715364,-80.0532942,West Palm Beach 
Albany New York United States of America,3,2019-03-04,42.6511674,-73.754968,Albany 
Atlanta Georgia United States of America,1,2019-03-04,33.7490987,-84.3901849,Atlanta 
Baltimore Maryland United States of America,3,2019-03-04,39.2908816,-76.610759,Baltimore 
Boston Massachusetts United States of America,1,2019-03-04,42.3602534,-71.0582912,Boston 
