topic,Week,interest
Hurricane Dorian,2019-04-14,0
Hurricane Dorian,2019-04-21,0
Hurricane Dorian,2019-04-28,0
Hurricane Dorian,2019-05-05,0
Hurricane Dorian,2019-05-12,0
Hurricane Dorian,2019-05-19,0
Hurricane Dorian,2019-05-26,<1
Hurricane Dorian,2019-06-02,0
Hurricane Dorian,2019-06-09,<1
Hurricane Dorian,2019-06-16,0
Hurricane Dorian,2019-06-23,<1
Hurricane Dorian,2019-06-30,0
Hurricane Dorian,2019-07-07,<1
Hurricane Dorian,2019-07-14,<1
Hurricane Dorian,2019-07-21,<1
Hurricane Dorian,2019-07-28,<1
Hurricane Dorian,2019-08-04,<1
Hurricane Dorian,2019-08-11,<1
Hurricane Dorian,2019-08-18,<1
Hurricane Dorian,2019-08-25,47
Hurricane Dorian,2019-09-01,100
Hurricane Dorian,2019-09-08,4
Hurricane Dorian,2019-09-15,1
Hurricane Dorian,2019-09-22,1
Hurricane Dorian,2019-09-29,<1
Hurricane Dorian,2019-10-06,<1
Hurricane Dorian,2019-10-13,<1
Hurricane Dorian,2019-10-20,<1
Hurricane Dorian,2019-10-27,<1
Hurricane Dorian,2019-11-03,<1
Hurricane Dorian,2019-11-10,<1
Hurricane Dorian,2019-11-17,<1
Hurricane Dorian,2019-11-24,<1
Hurricane Dorian,2019-12-01,<1
Hurricane Dorian,2019-12-08,<1
Hurricane Dorian,2019-12-15,<1
Hurricane Dorian,2019-12-22,<1
Hurricane Dorian,2019-12-29,<1
Katelyn Ohashi,2019-01-06,1
Katelyn Ohashi,2019-01-13,100
Katelyn Ohashi,2019-01-20,23
