geoName,interest,date
geoName,interest,date
Greenville-Spartanburg SC-Asheville NC-Anderson SC,3,2019-03-04
Harrisonburg VA,26,2019-03-04
Hartford & New Haven CT,5,2019-03-04
Honolulu HI,4,2019-03-04
Houston TX,2,2019-03-04
Indianapolis IN,4,2019-03-04
Jackson MS,7,2019-03-04
Jacksonville FL,3,2019-03-04
Johnstown-Altoona PA,9,2019-03-04
Juneau AK,100,2019-03-04
Kansas City MO,4,2019-03-04
Knoxville TN,9,2019-03-04
Lake Charles LA,27,2019-03-04
Lansing MI,12,2019-03-04
Las Vegas NV,6,2019-03-04
Lexington KY,5,2019-03-04
Los Angeles CA,2,2019-03-04
Louisville KY,6,2019-03-04
Memphis TN,4,2019-03-04
Miami-Ft. Lauderdale FL,3,2019-03-04
Milwaukee WI,3,2019-03-04
Minneapolis-St. Paul MN,2,2019-03-04
Nashville TN,4,2019-03-04
New Orleans LA,3,2019-03-04
New York NY,3,2019-03-04
Norfolk-Portsmouth-Newport News VA,4,2019-03-04
Oklahoma City OK,3,2019-03-04
Orlando-Daytona Beach-Melbourne FL,3,2019-03-04
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,16,2019-03-04
Palm Springs CA,13,2019-03-04
Panama City FL,17,2019-03-04
Peoria-Bloomington IL,9,2019-03-04
Philadelphia PA,2,2019-03-04
Phoenix AZ,2,2019-03-04
Pittsburgh PA,5,2019-03-04
Portland OR,4,2019-03-04
Portland-Auburn ME,17,2019-03-04
Providence RI-New Bedford MA,5,2019-03-04
Raleigh-Durham (Fayetteville) NC,2,2019-03-04
Richmond-Petersburg VA,3,2019-03-04
Roanoke-Lynchburg VA,5,2019-03-04
Rochester MN-Mason City IA-Austin MN,23,2019-03-04
Sacramento-Stockton-Modesto CA,4,2019-03-04
Salisbury MD,16,2019-03-04
Salt Lake City UT,3,2019-03-04
San Antonio TX,3,2019-03-04
San Diego CA,4,2019-03-04
San Francisco-Oakland-San Jose CA,4,2019-03-04
Santa Barbara-Santa Maria-San Luis Obispo CA,7,2019-03-04
Savannah GA,5,2019-03-04
Seattle-Tacoma WA,4,2019-03-04
Sioux Falls(Mitchell) SD,10,2019-03-04
South Bend-Elkhart IN,7,2019-03-04
Spokane WA,11,2019-03-04
Springfield MO,6,2019-03-04
Springfield-Holyoke MA,7,2019-03-04
St. Louis MO,3,2019-03-04
Syracuse NY,8,2019-03-04
Tallahassee FL-Thomasville GA,8,2019-03-04
Tampa-St. Petersburg (Sarasota) FL,2,2019-03-04
Toledo OH,6,2019-03-04
Tucson (Sierra Vista) AZ,5,2019-03-04
Tulsa OK,13,2019-03-04
Waco-Temple-Bryan TX,5,2019-03-04
Washington DC (Hagerstown MD),4,2019-03-04
